course_id,course_name,department
AAS100,Intro Asian American Studies,AAS
AAS120,Intro to Asian Am Pop Culture,AAS
AAS200,U.S. Race and Empire,AAS
AAS201,US Racial &amp; Ethnic Politics,AAS
AAS211,Asian Americans and the Arts,AAS
AAS246,Asian American Youth in Film,AAS
AAS281,Constructing Race in America,AAS
AAS286,Asian American Literature,AAS
AAS290,Individual Study,AAS
AAS297,Asian Families in America,AAS
AAS300,"Theories of Race, Gender, and Sexuality",AAS
AAS310,Race and Cultural Diversity,AAS
AAS395,Adv Asian Am Undergrad Reading,AAS
AAS479,"Race, Medicine, and Society",AAS
AAS501,Theory and Methods in AAS,AAS
ABE127,Introduction to Agricultural &amp; Biological Engineering,ABE
ABE199,Undergraduate Open Seminar,ABE
ABE227,Computer-Aided Problem-Solving for ABE I,ABE
ABE232,Context in International Interventions,ABE
ABE340,Thermodynamics for Agricultural and Biological Engineering,ABE
ABE397,Independent Study,ABE
ABE430,Project Management,ABE
ABE436,Renewable Energy Systems,ABE
ABE452,Engineering for Disaster Resilience,ABE
ABE456,Land &amp; Water Resources Engrg,ABE
ABE459,Drainage and Water Management,ABE
ABE466,Engineering Off-Road Vehicles,ABE
ABE488,Bioprocessing Biomass for Fuel,ABE
ABE497,Independent Study,ABE
ABE498,Special Topics,ABE
ABE501,Graduate Seminar: Foundations of Success,ABE
ABE532,Advanced Contextual Design,ABE
ABE597,Independent Study,ABE
ABE599,Thesis Research,ABE
ACCY200,Fundamentals of Accounting,ACCY
ACCY201,Accounting and Accountancy I,ACCY
ACCY202,Accounting and Accountancy II,ACCY
ACCY290,Prof Internship in Accountancy,ACCY
ACCY301,Atg Measurement &amp; Disclosure,ACCY
ACCY302,Decision Making for Atg,ACCY
ACCY303,Accounting Institutions and Regulation,ACCY
ACCY304,Accounting Control Systems,ACCY
ACCY312,Principles of Taxation,ACCY
ACCY321,Principles of Public Policy,ACCY
ACCY375,Career Pathways in Accountancy,ACCY
ACCY398,Practical Problems in Atg,ACCY
ACCY405,Assurance and Attestation,ACCY
ACCY410,Advanced Financial Reporting,ACCY
ACCY451,Advanced Income Tax Problems,ACCY
ACCY499,Senior Research,ACCY
ACCY500,"Accounting Measurement, Reporting, and Control",ACCY
ACCY501,Accounting Analysis I,ACCY
ACCY502,Accounting Analysis II,ACCY
ACCY503,Managerial Accounting,ACCY
ACCY504,Auditing,ACCY
ACCY505,Federal Taxation,ACCY
ACCY506,Advanced Topics in Accounting,ACCY
ACCY510,Financial Reporting Standards,ACCY
ACCY512,Data Analytics for Management Accounting,ACCY
ACCY515,Auditing &amp; Assurance Standards,ACCY
ACCY517,Financial Statement Analysis and Valuation,ACCY
ACCY518,Financial Statement Fraud,ACCY
ACCY531,Financial Statement Analysis for MBAs,ACCY
ACCY532,Accounting for Mergers &amp; Acquisitions and Other Complex Transactions,ACCY
ACCY551,Corporate Income Taxation,ACCY
ACCY552,Partnership Income Taxation,ACCY
ACCY556,Tax Research,ACCY
ACCY569,Data Driven Decisions in Accounting,ACCY
ACCY570,Data Analytics Foundations for Accountancy,ACCY
ACCY574,Risk Management and Innovation,ACCY
ACCY575,Data Analytics Applications in Accountancy,ACCY
ACCY578,Accounting Analytics Applications,ACCY
ACCY590,Adv Prof Internship in ACCY,ACCY
ACCY592,Introduction to Accounting Research,ACCY
ACCY593,Special Research Problems,ACCY
ACE100,Introduction to Applied Microeconomics,ACE
ACE161,Microcomputer Applications,ACE
ACE203,Introduction to Public Policy and Law,ACE
ACE210,Environmental Economics,ACE
ACE220,Introduction to Sales: Principles and Strategies,ACE
ACE221,Negotiation,ACE
ACE222,Agricultural Marketing,ACE
ACE240,Personal Financial Planning,ACE
ACE243,Money and Happiness,ACE
ACE251,The World Food Economy,ACE
ACE254,Economic Systems in Africa,ACE
ACE255,Economics of Food and Environmental Justice,ACE
ACE262,Applied Statistical Methods and Data Analytics I,ACE
ACE264,Applied Statistical Methods &amp; Data Analytics 2,ACE
ACE270,Consumer Economics,ACE
ACE293,Off-Campus Internship,ACE
ACE294,On-Campus Internship,ACE
ACE295,Independent Study,ACE
ACE300,Intermediate Applied Microeconomics,ACE
ACE310,Natural Resource Economics,ACE
ACE335,Food Marketing and Behavior,ACE
ACE341,Issues&amp;Careers in Applied Econ,ACE
ACE345,Finan Decision Indiv Sm Bus,ACE
ACE346,Tax Policy and Finan Planning,ACE
ACE360,Spreadsheet Models and Applications,ACE
ACE396,Honors Research or Thesis,ACE
ACE398,Experiential Learning,ACE
ACE406,Environmental Law,ACE
ACE411,Environment and Development,ACE
ACE417,Climate Change Economics and Policy,ACE
ACE427,Commodity Price Analysis,ACE
ACE428,Commodity Futures and Options,ACE
ACE431,Agri-food Strategic Management,ACE
ACE435,Global Agribusiness Management,ACE
ACE444,Financial Services &amp; Investing Planning,ACE
ACE445,Intermediate Financial and Estate Planning,ACE
ACE455,International Trade in Food and Agriculture,ACE
ACE474,Economics of Consumption,ACE
ACE476,Behavioral Economics and Financial Decision Making,ACE
ACE499,Contemporary Topics in ACE,ACE
ACE500,Applied Economic Theory,ACE
ACE501,Risk and Info: Theory and App,ACE
ACE504,Foundational Microeconomic Theory,ACE
ACE516,Environmental Economics,ACE
ACE520,Time Series Econometrics for Price Analysis,ACE
ACE527,Advanced Price Analysis,ACE
